time,USD_JPY_close,USD_JPY_volume
2019-01-18T11:15:00.000000000Z,109.422,50
2019-01-18T11:20:00.000000000Z,109.417,36
2019-01-18T11:25:00.000000000Z,109.438,28
2019-01-18T11:30:00.000000000Z,109.466,41
2019-01-18T11:35:00.000000000Z,109.464,35
2019-01-18T11:40:00.000000000Z,109.454,33
2019-01-18T11:45:00.000000000Z,109.466,35
2019-01-18T11:50:00.000000000Z,109.485,52
2019-01-18T11:55:00.000000000Z,109.508,78
2019-01-18T12:00:00.000000000Z,109.516,96
2019-01-18T12:05:00.000000000Z,109.530,69
2019-01-18T12:10:00.000000000Z,109.504,64
2019-01-18T12:15:00.000000000Z,109.476,52
2019-01-18T12:20:00.000000000Z,109.418,73
2019-01-18T12:25:00.000000000Z,109.439,100
2019-01-18T12:30:00.000000000Z,109.443,70
2019-01-18T12:35:00.000000000Z,109.438,44
2019-01-18T12:40:00.000000000Z,109.439,45
2019-01-18T12:45:00.000000000Z,109.417,48
2019-01-18T12:50:00.000000000Z,109.394,79
2019-01-18T12:55:00.000000000Z,109.377,74
2019-01-18T13:00:00.000000000Z,109.408,72
2019-01-18T13:05:00.000000000Z,109.423,61
2019-01-18T13:10:00.000000000Z,109.438,83
2019-01-18T13:15:00.000000000Z,109.398,67
2019-01-18T13:20:00.000000000Z,109.410,92
2019-01-18T13:25:00.000000000Z,109.404,57
2019-01-18T13:30:00.000000000Z,109.392,90
2019-01-18T13:35:00.000000000Z,109.348,100
2019-01-18T13:40:00.000000000Z,109.393,69
2019-01-18T13:45:00.000000000Z,109.392,87
2019-01-18T13:50:00.000000000Z,109.406,61
2019-01-18T13:55:00.000000000Z,109.429,79
2019-01-18T14:00:00.000000000Z,109.445,97
2019-01-18T14:05:00.000000000Z,109.450,114
2019-01-18T14:10:00.000000000Z,109.454,116
2019-01-18T14:15:00.000000000Z,109.505,136
2019-01-18T14:20:00.000000000Z,109.486,94
2019-01-18T14:25:00.000000000Z,109.526,118
2019-01-18T14:30:00.000000000Z,109.510,188
2019-01-18T14:35:00.000000000Z,109.456,258
2019-01-18T14:40:00.000000000Z,109.462,216
2019-01-18T14:45:00.000000000Z,109.496,216
2019-01-18T14:50:00.000000000Z,109.496,140
2019-01-18T14:55:00.000000000Z,109.525,104
2019-01-18T15:00:00.000000000Z,109.465,366
2019-01-18T15:05:00.000000000Z,109.419,191
2019-01-18T15:10:00.000000000Z,109.408,113
2019-01-18T15:15:00.000000000Z,109.673,421
2019-01-18T15:20:00.000000000Z,109.605,789
2019-01-18T15:25:00.000000000Z,109.614,268
2019-01-18T15:30:00.000000000Z,109.662,219
2019-01-18T15:35:00.000000000Z,109.625,240
2019-01-18T15:40:00.000000000Z,109.692,242
2019-01-18T15:45:00.000000000Z,109.668,176
2019-01-18T15:50:00.000000000Z,109.647,236
2019-01-18T15:55:00.000000000Z,109.682,157
2019-01-18T16:00:00.000000000Z,109.652,180
2019-01-18T16:05:00.000000000Z,109.658,118
2019-01-18T16:10:00.000000000Z,109.683,116
2019-01-18T16:15:00.000000000Z,109.676,90
2019-01-18T16:20:00.000000000Z,109.737,211
2019-01-18T16:25:00.000000000Z,109.758,139
2019-01-18T16:30:00.000000000Z,109.752,95
2019-01-18T16:35:00.000000000Z,109.748,67
2019-01-18T16:40:00.000000000Z,109.719,67
2019-01-18T16:45:00.000000000Z,109.756,127
2019-01-18T16:50:00.000000000Z,109.774,95
2019-01-18T16:55:00.000000000Z,109.796,95
2019-01-18T17:00:00.000000000Z,109.783,65
2019-01-18T17:05:00.000000000Z,109.759,77
2019-01-18T17:10:00.000000000Z,109.775,47
2019-01-18T17:15:00.000000000Z,109.772,72
2019-01-18T17:20:00.000000000Z,109.791,52
2019-01-18T17:25:00.000000000Z,109.814,64
2019-01-18T17:30:00.000000000Z,109.838,77
2019-01-18T17:35:00.000000000Z,109.856,65
2019-01-18T17:40:00.000000000Z,109.856,66
2019-01-18T17:45:00.000000000Z,109.836,32
2019-01-18T17:50:00.000000000Z,109.835,63
2019-01-18T17:55:00.000000000Z,109.842,49
2019-01-18T18:00:00.000000000Z,109.854,85
2019-01-18T18:05:00.000000000Z,109.786,101
2019-01-18T18:10:00.000000000Z,109.766,88
2019-01-18T18:15:00.000000000Z,109.778,48
2019-01-18T18:20:00.000000000Z,109.778,51
2019-01-18T18:25:00.000000000Z,109.748,102
2019-01-18T18:30:00.000000000Z,109.734,83
2019-01-18T18:35:00.000000000Z,109.734,54
2019-01-18T18:40:00.000000000Z,109.748,80
2019-01-18T18:45:00.000000000Z,109.760,63
2019-01-18T18:50:00.000000000Z,109.752,39
2019-01-18T18:55:00.000000000Z,109.764,27
2019-01-18T19:00:00.000000000Z,109.770,74
2019-01-18T19:05:00.000000000Z,109.780,27
2019-01-18T19:10:00.000000000Z,109.754,55
2019-01-18T19:15:00.000000000Z,109.708,68
2019-01-18T19:20:00.000000000Z,109.730,90
2019-01-18T19:25:00.000000000Z,109.694,122
2019-01-18T19:30:00.000000000Z,109.694,56
2019-01-18T19:35:00.000000000Z,109.682,45
2019-01-18T19:40:00.000000000Z,109.659,65
2019-01-18T19:45:00.000000000Z,109.688,33
2019-01-18T19:50:00.000000000Z,109.708,42
2019-01-18T19:55:00.000000000Z,109.776,96
2019-01-18T20:00:00.000000000Z,109.760,128
2019-01-18T20:05:00.000000000Z,109.754,73
2019-01-18T20:10:00.000000000Z,109.785,75
2019-01-18T20:15:00.000000000Z,109.770,30
2019-01-18T20:20:00.000000000Z,109.781,38
2019-01-18T20:25:00.000000000Z,109.762,64
2019-01-18T20:30:00.000000000Z,109.779,39
2019-01-18T20:35:00.000000000Z,109.785,46
2019-01-18T20:40:00.000000000Z,109.778,35
2019-01-18T20:45:00.000000000Z,109.742,55
2019-01-18T20:50:00.000000000Z,109.742,60
2019-01-18T20:55:00.000000000Z,109.748,52
2019-01-18T21:00:00.000000000Z,109.744,52
2019-01-18T21:05:00.000000000Z,109.722,37
2019-01-18T21:10:00.000000000Z,109.724,35
2019-01-18T21:15:00.000000000Z,109.714,14
