time,EUR_USD_close,EUR_USD_volume
2018-04-17T18:23:00.000000000Z,1.23708,14
2018-04-17T18:24:00.000000000Z,1.23692,20
2018-04-17T18:25:00.000000000Z,1.23703,27
2018-04-17T18:26:00.000000000Z,1.23693,21
2018-04-17T18:27:00.000000000Z,1.23692,17
2018-04-17T18:28:00.000000000Z,1.23694,10
2018-04-17T18:29:00.000000000Z,1.23691,10
2018-04-17T18:30:00.000000000Z,1.23693,9
2018-04-17T18:31:00.000000000Z,1.23708,29
2018-04-17T18:32:00.000000000Z,1.23700,6
2018-04-17T18:33:00.000000000Z,1.23682,35
2018-04-17T18:34:00.000000000Z,1.23672,38
2018-04-17T18:35:00.000000000Z,1.23671,16
2018-04-17T18:36:00.000000000Z,1.23667,19
2018-04-17T18:37:00.000000000Z,1.23664,10
2018-04-17T18:38:00.000000000Z,1.23656,22
2018-04-17T18:39:00.000000000Z,1.23659,12
2018-04-17T18:40:00.000000000Z,1.23649,15
2018-04-17T18:41:00.000000000Z,1.23655,17
2018-04-17T18:42:00.000000000Z,1.23658,3
2018-04-17T18:45:00.000000000Z,1.23663,4
2018-04-17T18:46:00.000000000Z,1.23646,26
2018-04-17T18:47:00.000000000Z,1.23646,22
2018-04-17T18:48:00.000000000Z,1.23648,5
2018-04-17T18:49:00.000000000Z,1.23649,14
2018-04-17T18:50:00.000000000Z,1.23656,31
2018-04-17T18:51:00.000000000Z,1.23652,9
2018-04-17T18:52:00.000000000Z,1.23661,39
2018-04-17T18:53:00.000000000Z,1.23661,5
2018-04-17T18:54:00.000000000Z,1.23667,36
2018-04-17T18:55:00.000000000Z,1.23662,7
2018-04-17T18:56:00.000000000Z,1.23655,21
2018-04-17T18:57:00.000000000Z,1.23667,30
2018-04-17T18:58:00.000000000Z,1.23677,12
2018-04-17T18:59:00.000000000Z,1.23678,46
2018-04-17T19:00:00.000000000Z,1.23675,42
2018-04-17T19:01:00.000000000Z,1.23683,9
2018-04-17T19:02:00.000000000Z,1.23687,1
2018-04-17T19:03:00.000000000Z,1.23680,5
2018-04-17T19:04:00.000000000Z,1.23660,39
2018-04-17T19:05:00.000000000Z,1.23677,25
2018-04-17T19:06:00.000000000Z,1.23676,13
2018-04-17T19:07:00.000000000Z,1.23685,7
2018-04-17T19:08:00.000000000Z,1.23668,34
2018-04-17T19:09:00.000000000Z,1.23668,14
2018-04-17T19:10:00.000000000Z,1.23665,48
2018-04-17T19:11:00.000000000Z,1.23680,49
2018-04-17T19:12:00.000000000Z,1.23680,19
2018-04-17T19:13:00.000000000Z,1.23665,17
2018-04-17T19:14:00.000000000Z,1.23667,38
2018-04-17T19:15:00.000000000Z,1.23678,29
2018-04-17T19:16:00.000000000Z,1.23682,54
2018-04-17T19:17:00.000000000Z,1.23686,21
2018-04-17T19:18:00.000000000Z,1.23686,23
2018-04-17T19:19:00.000000000Z,1.23688,8
2018-04-17T19:20:00.000000000Z,1.23694,21
2018-04-17T19:21:00.000000000Z,1.23694,25
2018-04-17T19:22:00.000000000Z,1.23694,25
2018-04-17T19:23:00.000000000Z,1.23692,26
2018-04-17T19:24:00.000000000Z,1.23692,7
2018-04-17T19:25:00.000000000Z,1.23698,8
2018-04-17T19:26:00.000000000Z,1.23694,24
2018-04-17T19:27:00.000000000Z,1.23694,18
2018-04-17T19:28:00.000000000Z,1.23698,19
2018-04-17T19:29:00.000000000Z,1.23708,15
2018-04-17T19:30:00.000000000Z,1.23704,4
2018-04-17T19:31:00.000000000Z,1.23693,8
2018-04-17T19:32:00.000000000Z,1.23704,21
2018-04-17T19:33:00.000000000Z,1.23702,14
2018-04-17T19:34:00.000000000Z,1.23704,31
2018-04-17T19:35:00.000000000Z,1.23712,32
2018-04-17T19:36:00.000000000Z,1.23716,20
2018-04-17T19:37:00.000000000Z,1.23716,13
2018-04-17T19:38:00.000000000Z,1.23715,1
2018-04-17T19:39:00.000000000Z,1.23701,26
2018-04-17T19:40:00.000000000Z,1.23703,23
2018-04-17T19:41:00.000000000Z,1.23701,24
2018-04-17T19:42:00.000000000Z,1.23711,19
2018-04-17T19:43:00.000000000Z,1.23712,33
2018-04-17T19:44:00.000000000Z,1.23716,26
2018-04-17T19:45:00.000000000Z,1.23710,2
2018-04-17T19:46:00.000000000Z,1.23718,18
2018-04-17T19:47:00.000000000Z,1.23716,20
2018-04-17T19:48:00.000000000Z,1.23720,2
2018-04-17T19:49:00.000000000Z,1.23698,19
2018-04-17T19:50:00.000000000Z,1.23704,28
2018-04-17T19:51:00.000000000Z,1.23690,19
2018-04-17T19:52:00.000000000Z,1.23698,24
2018-04-17T19:53:00.000000000Z,1.23706,4
2018-04-17T19:54:00.000000000Z,1.23705,31
2018-04-17T19:55:00.000000000Z,1.23702,39
2018-04-17T19:56:00.000000000Z,1.23695,32
2018-04-17T19:57:00.000000000Z,1.23704,18
2018-04-17T19:58:00.000000000Z,1.23724,9
2018-04-17T19:59:00.000000000Z,1.23722,21
2018-04-17T20:00:00.000000000Z,1.23717,37
2018-04-17T20:01:00.000000000Z,1.23727,3
2018-04-17T20:02:00.000000000Z,1.23732,21
2018-04-17T20:03:00.000000000Z,1.23732,10
2018-04-17T20:04:00.000000000Z,1.23717,11
2018-04-17T20:05:00.000000000Z,1.23720,1
2018-04-17T20:06:00.000000000Z,1.23726,12
2018-04-17T20:07:00.000000000Z,1.23734,20
2018-04-17T20:08:00.000000000Z,1.23733,6
