time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2018-04-16T04:22:00.000000000Z,1.23340,4.0,1.42586,8.0,107.226,1.0,0.86505,1.0,132.256,1.0,152.885,1.0
2018-04-16T04:23:00.000000000Z,1.23340,9.0,1.42593,8.0,107.226,2.0,0.86502,1.0,132.259,1.0,152.892,9.0
2018-04-16T04:24:00.000000000Z,1.23342,29.0,1.42588,9.0,107.226,2.0,0.86504,1.0,132.262,3.0,152.892,6.0
2018-04-16T04:25:00.000000000Z,1.23344,8.0,1.42590,13.0,107.214,11.0,0.86502,1.0,132.246,7.0,152.880,17.0
2018-04-16T04:26:00.000000000Z,1.23344,8.0,1.42596,4.0,107.212,23.0,0.86502,1.0,132.242,14.0,152.878,28.0
2018-04-16T04:27:00.000000000Z,1.23347,4.0,1.42594,4.0,107.217,8.0,0.86502,1.0,132.246,5.0,152.884,15.0
2018-04-16T04:28:00.000000000Z,1.23344,9.0,1.42595,3.0,107.222,8.0,0.86500,1.0,132.249,5.0,152.890,19.0
2018-04-16T04:29:00.000000000Z,1.23351,27.0,1.42596,7.0,107.204,26.0,0.86502,1.0,132.234,12.0,152.866,35.0
2018-04-16T04:30:00.000000000Z,1.23338,21.0,1.42588,40.0,107.203,4.0,0.86500,1.0,132.220,6.0,152.854,14.0
2018-04-16T04:31:00.000000000Z,1.23334,15.0,1.42584,12.0,107.210,9.0,0.86502,1.0,132.227,6.0,152.866,9.0
2018-04-16T04:32:00.000000000Z,1.23345,45.0,1.42588,33.0,107.191,32.0,0.86507,2.0,132.216,29.0,152.838,48.0
2018-04-16T04:33:00.000000000Z,1.23340,18.0,1.42594,12.0,107.181,37.0,0.86503,4.0,132.202,29.0,152.833,47.0
2018-04-16T04:34:00.000000000Z,1.23339,15.0,1.42589,11.0,107.206,20.0,0.86503,4.0,132.226,11.0,152.859,19.0
2018-04-16T04:35:00.000000000Z,1.23331,18.0,1.42587,12.0,107.203,27.0,0.86500,1.0,132.218,18.0,152.854,44.0
2018-04-16T04:36:00.000000000Z,1.23332,20.0,1.42586,58.0,107.210,25.0,0.86502,5.0,132.227,20.0,152.864,38.0
2018-04-16T04:37:00.000000000Z,1.23334,3.0,1.42586,58.0,107.210,14.0,0.86502,5.0,132.230,9.0,152.866,15.0
2018-04-16T04:38:00.000000000Z,1.23340,2.0,1.42586,58.0,107.222,7.0,0.86504,1.0,132.250,10.0,152.882,8.0
2018-04-16T04:39:00.000000000Z,1.23340,2.0,1.42586,58.0,107.225,3.0,0.86504,1.0,132.254,1.0,152.886,2.0
2018-04-16T04:40:00.000000000Z,1.23330,9.0,1.42581,6.0,107.234,4.0,0.86500,4.0,132.250,5.0,152.894,9.0
2018-04-16T04:41:00.000000000Z,1.23325,14.0,1.42576,17.0,107.250,16.0,0.86498,1.0,132.264,8.0,152.910,18.0
2018-04-16T04:42:00.000000000Z,1.23325,14.0,1.42571,34.0,107.252,5.0,0.86502,4.0,132.268,1.0,152.910,12.0
2018-04-16T04:43:00.000000000Z,1.23330,4.0,1.42571,34.0,107.242,6.0,0.86502,4.0,132.258,3.0,152.895,7.0
2018-04-16T04:44:00.000000000Z,1.23332,2.0,1.42578,4.0,107.240,9.0,0.86504,1.0,132.258,4.0,152.894,8.0
2018-04-16T04:45:00.000000000Z,1.23330,3.0,1.42578,4.0,107.234,4.0,0.86504,1.0,132.252,4.0,152.886,7.0
2018-04-16T04:46:00.000000000Z,1.23330,3.0,1.42576,1.0,107.234,4.0,0.86504,1.0,132.252,4.0,152.886,2.0
2018-04-16T04:47:00.000000000Z,1.23330,3.0,1.42577,1.0,107.232,1.0,0.86504,1.0,132.252,4.0,152.884,1.0
2018-04-16T04:48:00.000000000Z,1.23328,7.0,1.42574,7.0,107.245,5.0,0.86504,1.0,132.264,4.0,152.898,6.0
2018-04-16T04:49:00.000000000Z,1.23325,10.0,1.42568,5.0,107.240,4.0,0.86502,1.0,132.257,6.0,152.892,11.0
2018-04-16T04:50:00.000000000Z,1.23325,10.0,1.42576,2.0,107.240,4.0,0.86502,1.0,132.254,1.0,152.894,3.0
2018-04-16T04:51:00.000000000Z,1.23325,10.0,1.42574,4.0,107.240,4.0,0.86502,1.0,132.257,1.0,152.894,6.0
2018-04-16T04:52:00.000000000Z,1.23329,1.0,1.42574,4.0,107.238,1.0,0.86502,1.0,132.256,2.0,152.890,4.0
2018-04-16T04:53:00.000000000Z,1.23329,1.0,1.42574,2.0,107.248,6.0,0.86505,1.0,132.264,4.0,152.904,6.0
2018-04-16T04:54:00.000000000Z,1.23329,1.0,1.42574,8.0,107.250,15.0,0.86505,1.0,132.270,6.0,152.907,9.0
2018-04-16T04:55:00.000000000Z,1.23329,1.0,1.42574,9.0,107.246,6.0,0.86505,1.0,132.268,1.0,152.900,3.0
2018-04-16T04:56:00.000000000Z,1.23329,1.0,1.42574,3.0,107.242,1.0,0.86505,1.0,132.264,1.0,152.898,1.0
2018-04-16T04:57:00.000000000Z,1.23326,11.0,1.42574,3.0,107.242,4.0,0.86500,2.0,132.258,6.0,152.901,6.0
