time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,EUR_GBP_close,EUR_GBP_volume
2018-04-16T15:06:00.000000000Z,1.23666,25.0,1.43268,72.0,0.86322,6.0
2018-04-16T15:07:00.000000000Z,1.23670,25.0,1.43247,48.0,0.86334,11.0
2018-04-16T15:08:00.000000000Z,1.23684,46.0,1.43276,39.0,0.86329,10.0
2018-04-16T15:09:00.000000000Z,1.23699,23.0,1.43290,27.0,0.86327,14.0
2018-04-16T15:10:00.000000000Z,1.23704,21.0,1.43272,27.0,0.86338,9.0
2018-04-16T15:11:00.000000000Z,1.23698,7.0,1.43252,25.0,0.86346,13.0
2018-04-16T15:12:00.000000000Z,1.23696,24.0,1.43233,9.0,0.86362,11.0
2018-04-16T15:13:00.000000000Z,1.23700,17.0,1.43249,43.0,0.86355,11.0
2018-04-16T15:14:00.000000000Z,1.23700,43.0,1.43265,36.0,0.86343,17.0
2018-04-16T15:15:00.000000000Z,1.23676,25.0,1.43256,20.0,0.86334,10.0
2018-04-16T15:16:00.000000000Z,1.23668,35.0,1.43248,41.0,0.86334,14.0
2018-04-16T15:17:00.000000000Z,1.23682,15.0,1.43260,17.0,0.86338,6.0
2018-04-16T15:18:00.000000000Z,1.23678,8.0,1.43250,41.0,0.86337,7.0
2018-04-16T15:19:00.000000000Z,1.23680,14.0,1.43264,36.0,0.86332,4.0
2018-04-16T15:20:00.000000000Z,1.23698,32.0,1.43280,50.0,0.86332,8.0
2018-04-16T15:21:00.000000000Z,1.23664,50.0,1.43272,65.0,0.86313,25.0
2018-04-16T15:22:00.000000000Z,1.23682,35.0,1.43248,42.0,0.86340,18.0
2018-04-16T15:23:00.000000000Z,1.23683,21.0,1.43245,36.0,0.86344,8.0
2018-04-16T15:24:00.000000000Z,1.23678,24.0,1.43228,31.0,0.86354,12.0
2018-04-16T15:25:00.000000000Z,1.23680,29.0,1.43222,81.0,0.86352,15.0
2018-04-16T15:26:00.000000000Z,1.23683,24.0,1.43239,41.0,0.86347,13.0
2018-04-16T15:27:00.000000000Z,1.23692,26.0,1.43232,22.0,0.86356,16.0
2018-04-16T15:28:00.000000000Z,1.23685,41.0,1.43208,24.0,0.86364,11.0
2018-04-16T15:29:00.000000000Z,1.23680,27.0,1.43194,34.0,0.86372,19.0
2018-04-16T15:30:00.000000000Z,1.23686,21.0,1.43204,49.0,0.86368,17.0
2018-04-16T15:31:00.000000000Z,1.23688,44.0,1.43198,30.0,0.86376,10.0
2018-04-16T15:32:00.000000000Z,1.23696,29.0,1.43210,44.0,0.86379,7.0
2018-04-16T15:33:00.000000000Z,1.23691,37.0,1.43216,61.0,0.86370,15.0
2018-04-16T15:34:00.000000000Z,1.23691,19.0,1.43228,27.0,0.86359,12.0
2018-04-16T15:35:00.000000000Z,1.23691,13.0,1.43246,18.0,0.86350,8.0
2018-04-16T15:36:00.000000000Z,1.23680,28.0,1.43244,29.0,0.86343,12.0
2018-04-16T15:37:00.000000000Z,1.23663,33.0,1.43200,58.0,0.86355,13.0
2018-04-16T15:38:00.000000000Z,1.23666,20.0,1.43214,37.0,0.86353,7.0
2018-04-16T15:39:00.000000000Z,1.23662,36.0,1.43232,47.0,0.86339,28.0
2018-04-16T15:40:00.000000000Z,1.23678,16.0,1.43249,18.0,0.86338,8.0
2018-04-16T15:41:00.000000000Z,1.23692,14.0,1.43274,21.0,0.86334,13.0
2018-04-16T15:42:00.000000000Z,1.23672,37.0,1.43224,82.0,0.86346,25.0
2018-04-16T15:43:00.000000000Z,1.23672,32.0,1.43223,39.0,0.86348,5.0
2018-04-16T15:44:00.000000000Z,1.23670,22.0,1.43240,31.0,0.86338,10.0
2018-04-16T15:45:00.000000000Z,1.23678,26.0,1.43260,34.0,0.86330,3.0
2018-04-16T15:46:00.000000000Z,1.23679,28.0,1.43270,40.0,0.86326,4.0
2018-04-16T15:47:00.000000000Z,1.23692,28.0,1.43257,51.0,0.86341,17.0
2018-04-16T15:48:00.000000000Z,1.23682,9.0,1.43252,24.0,0.86336,2.0
2018-04-16T15:49:00.000000000Z,1.23695,23.0,1.43270,39.0,0.86334,7.0
2018-04-16T15:50:00.000000000Z,1.23688,29.0,1.43281,67.0,0.86321,14.0
2018-04-16T15:51:00.000000000Z,1.23685,28.0,1.43282,53.0,0.86323,5.0
2018-04-16T15:52:00.000000000Z,1.23669,32.0,1.43254,41.0,0.86327,8.0
2018-04-16T15:53:00.000000000Z,1.23683,21.0,1.43258,46.0,0.86334,13.0
2018-04-16T15:54:00.000000000Z,1.23695,16.0,1.43286,32.0,0.86328,13.0
2018-04-16T15:55:00.000000000Z,1.23697,26.0,1.43278,41.0,0.86336,12.0
2018-04-16T15:56:00.000000000Z,1.23692,17.0,1.43256,40.0,0.86346,8.0
2018-04-16T15:57:00.000000000Z,1.23708,21.0,1.43284,19.0,0.86338,13.0
2018-04-16T15:58:00.000000000Z,1.23709,24.0,1.43296,12.0,0.86332,4.0
2018-04-16T15:59:00.000000000Z,1.23732,25.0,1.43332,37.0,0.86325,17.0
2018-04-16T16:00:00.000000000Z,1.23692,26.0,1.43298,75.0,0.86324,16.0
2018-04-16T16:01:00.000000000Z,1.23708,8.0,1.43306,14.0,0.86324,2.0
2018-04-16T16:02:00.000000000Z,1.23728,20.0,1.43332,33.0,0.86323,17.0
2018-04-16T16:03:00.000000000Z,1.23724,27.0,1.43312,20.0,0.86332,8.0
2018-04-16T16:04:00.000000000Z,1.23726,27.0,1.43294,21.0,0.86342,9.0
2018-04-16T16:05:00.000000000Z,1.23728,20.0,1.43290,22.0,0.86345,7.0
2018-04-16T16:06:00.000000000Z,1.23730,2.0,1.43296,24.0,0.86348,11.0
2018-04-16T16:07:00.000000000Z,1.23736,13.0,1.43296,37.0,0.86353,10.0
2018-04-16T16:08:00.000000000Z,1.23738,19.0,1.43288,30.0,0.86358,14.0
2018-04-16T16:09:00.000000000Z,1.23745,17.0,1.43298,57.0,0.86356,18.0
2018-04-16T16:10:00.000000000Z,1.23722,38.0,1.43281,17.0,0.86348,9.0
2018-04-16T16:11:00.000000000Z,1.23720,11.0,1.43289,22.0,0.86344,6.0
2018-04-16T16:12:00.000000000Z,1.23725,21.0,1.43310,38.0,0.86335,8.0
2018-04-16T16:13:00.000000000Z,1.23715,29.0,1.43294,56.0,0.86339,10.0
2018-04-16T16:14:00.000000000Z,1.23708,36.0,1.43279,38.0,0.86339,12.0
2018-04-16T16:15:00.000000000Z,1.23731,36.0,1.43298,34.0,0.86348,10.0
2018-04-16T16:16:00.000000000Z,1.23748,19.0,1.43304,25.0,0.86355,7.0
2018-04-16T16:17:00.000000000Z,1.23750,19.0,1.43300,19.0,0.86357,3.0
2018-04-16T16:18:00.000000000Z,1.23748,29.0,1.43284,60.0,0.86370,12.0
2018-04-16T16:19:00.000000000Z,1.23773,67.0,1.43320,43.0,0.86366,13.0
2018-04-16T16:20:00.000000000Z,1.23752,31.0,1.43298,57.0,0.86364,13.0
2018-04-16T16:21:00.000000000Z,1.23735,25.0,1.43288,43.0,0.86359,6.0
2018-04-16T16:22:00.000000000Z,1.23746,44.0,1.43302,56.0,0.86357,13.0
2018-04-16T16:23:00.000000000Z,1.23738,25.0,1.43300,23.0,0.86352,6.0
2018-04-16T16:24:00.000000000Z,1.23761,60.0,1.43294,51.0,0.86370,19.0
2018-04-16T16:25:00.000000000Z,1.23754,34.0,1.43314,39.0,0.86356,6.0
2018-04-16T16:26:00.000000000Z,1.23754,2.0,1.43326,26.0,0.86348,10.0
2018-04-16T16:27:00.000000000Z,1.23750,25.0,1.43315,41.0,0.86348,12.0
2018-04-16T16:28:00.000000000Z,1.23763,28.0,1.43333,14.0,0.86346,3.0
2018-04-16T16:29:00.000000000Z,1.23756,25.0,1.43326,30.0,0.86346,6.0
2018-04-16T16:30:00.000000000Z,1.23750,28.0,1.43332,43.0,0.86339,13.0
2018-04-16T16:31:00.000000000Z,1.23762,16.0,1.43342,14.0,0.86339,6.0
2018-04-16T16:32:00.000000000Z,1.23742,37.0,1.43310,40.0,0.86344,12.0
2018-04-16T16:33:00.000000000Z,1.23736,24.0,1.43302,7.0,0.86350,4.0
2018-04-16T16:34:00.000000000Z,1.23760,25.0,1.43322,49.0,0.86349,8.0
2018-04-16T16:35:00.000000000Z,1.23780,49.0,1.43311,68.0,0.86370,21.0
2018-04-16T16:36:00.000000000Z,1.23767,18.0,1.43301,9.0,0.86368,5.0
2018-04-16T16:37:00.000000000Z,1.23764,38.0,1.43300,28.0,0.86364,4.0
2018-04-16T16:38:00.000000000Z,1.23754,30.0,1.43288,25.0,0.86369,8.0
2018-04-16T16:39:00.000000000Z,1.23748,23.0,1.43276,18.0,0.86372,7.0
2018-04-16T16:40:00.000000000Z,1.23770,25.0,1.43294,16.0,0.86374,11.0
2018-04-16T16:41:00.000000000Z,1.23754,17.0,1.43294,17.0,0.86368,11.0
2018-04-16T16:42:00.000000000Z,1.23750,7.0,1.43293,21.0,0.86365,1.0
2018-04-16T16:43:00.000000000Z,1.23749,16.0,1.43274,31.0,0.86376,9.0
2018-04-16T16:44:00.000000000Z,1.23752,8.0,1.43274,14.0,0.86378,7.0
2018-04-16T16:45:00.000000000Z,1.23770,25.0,1.43287,23.0,0.86380,7.0
2018-04-16T16:46:00.000000000Z,1.23783,38.0,1.43294,47.0,0.86386,11.0
2018-04-16T16:47:00.000000000Z,1.23782,22.0,1.43287,23.0,0.86387,6.0
2018-04-16T16:48:00.000000000Z,1.23784,32.0,1.43291,36.0,0.86382,12.0
2018-04-16T16:49:00.000000000Z,1.23771,33.0,1.43280,12.0,0.86384,7.0
2018-04-16T16:50:00.000000000Z,1.23768,17.0,1.43274,1.0,0.86388,6.0
2018-04-16T16:51:00.000000000Z,1.23780,16.0,1.43284,27.0,0.86390,7.0
2018-04-16T16:52:00.000000000Z,1.23778,8.0,1.43284,2.0,0.86388,1.0
2018-04-16T16:53:00.000000000Z,1.23796,19.0,1.43303,4.0,0.86388,6.0
2018-04-16T16:54:00.000000000Z,1.23813,26.0,1.43324,35.0,0.86386,17.0
2018-04-16T16:55:00.000000000Z,1.23820,55.0,1.43287,61.0,0.86416,27.0
2018-04-16T16:56:00.000000000Z,1.23819,23.0,1.43276,34.0,0.86423,15.0
2018-04-16T16:57:00.000000000Z,1.23834,35.0,1.43244,102.0,0.86452,25.0
2018-04-16T16:58:00.000000000Z,1.23840,24.0,1.43238,63.0,0.86462,21.0
2018-04-16T16:59:00.000000000Z,1.23828,70.0,1.43246,126.0,0.86443,47.0
2018-04-16T17:00:00.000000000Z,1.23824,43.0,1.43252,54.0,0.86436,15.0
2018-04-16T17:01:00.000000000Z,1.23810,45.0,1.43246,22.0,0.86429,11.0
2018-04-16T17:02:00.000000000Z,1.23797,37.0,1.43243,37.0,0.86426,11.0
2018-04-16T17:03:00.000000000Z,1.23802,11.0,1.43242,10.0,0.86426,6.0
2018-04-16T17:04:00.000000000Z,1.23796,24.0,1.43242,14.0,0.86424,3.0
2018-04-16T17:05:00.000000000Z,1.23799,12.0,1.43250,26.0,0.86423,6.0
2018-04-16T17:06:00.000000000Z,1.23796,30.0,1.43254,18.0,0.86418,7.0
2018-04-16T17:07:00.000000000Z,1.23800,1.0,1.43262,11.0,0.86414,4.0
2018-04-16T17:08:00.000000000Z,1.23792,11.0,1.43260,17.0,0.86411,3.0
2018-04-16T17:09:00.000000000Z,1.23791,22.0,1.43252,38.0,0.86412,9.0
2018-04-16T17:10:00.000000000Z,1.23801,21.0,1.43258,15.0,0.86420,5.0
2018-04-16T17:11:00.000000000Z,1.23787,15.0,1.43240,12.0,0.86420,6.0
